        datetime    open    high     low   close    MA20  ENE_UP  ENE_LOW     ENE  sell  buy   op  open_price  keep  cash_open  hold  avg_price  cash_left      val
1027  2018-11-15   3.930   3.960   3.870   3.960   3.710   4.265    3.496   3.880   NaN  NaN  NaN       3.660   1.0    30000.0     0      0.000    30000.0  30000.0
1028  2018-11-16   4.000   4.050   3.920   3.930   3.737   4.296    3.522   3.909   NaN  NaN  NaN       3.660   1.0    30000.0     0      0.000    30000.0  30000.0
1029  2018-11-19   3.900   3.920   3.800   3.870   3.754   4.309    3.533   3.921   NaN  NaN  NaN       3.660   1.0    30000.0     0      0.000    30000.0  30000.0
1030  2018-11-20   3.840   3.880   3.800   3.810   3.769   4.296    3.522   3.909   NaN  NaN  NaN       3.660   1.0    30000.0     0      0.000    30000.0  30000.0
1031  2018-11-21   3.760   3.820   3.720   3.820   3.776   4.298    3.524   3.911   NaN  NaN  NaN       3.660   1.0    30000.0     0      0.000    30000.0  30000.0
1032  2018-11-22   3.820   3.840   3.770   3.840   3.784   4.308    3.532   3.920   NaN  NaN  NaN       3.660   1.0    30000.0     0      0.000    30000.0  30000.0
1033  2018-11-23   3.820   3.820   3.580   3.600   3.778   4.280    3.509   3.895   NaN  NaN  NaN       3.660   1.0    30000.0     0      0.000    30000.0  30000.0
1034  2018-11-26   3.590   3.630   3.490   3.520   3.776   4.238    3.474   3.856   NaN  NaN  NaN       3.660   1.0    30000.0     0      0.000    30000.0  30000.0
1035  2018-11-27   3.560   3.580   3.520   3.560   3.776   4.199    3.443   3.821   NaN  NaN  NaN       3.660   1.0    30000.0     0      0.000    30000.0  30000.0
1036  2018-11-28   3.690   3.730   3.590   3.690   3.782   4.174    3.422   3.798   NaN  NaN  NaN       3.660   1.0    30000.0     0      0.000    30000.0  30000.0
1037  2018-11-29   3.690   3.700   3.580   3.590   3.783   4.133    3.388   3.760   NaN  NaN  NaN       3.660   1.0    30000.0     0      0.000    30000.0  30000.0
1038  2018-11-30   3.560   3.610   3.510   3.600   3.780   4.096    3.358   3.727   NaN  NaN  NaN       3.660   1.0    30000.0     0      0.000    30000.0  30000.0
1039  2018-12-03   3.700   3.730   3.650   3.690   3.777   4.076    3.342   3.709   NaN  NaN  NaN       3.660   1.0    30000.0     0      0.000    30000.0  30000.0
1040  2018-12-04   3.670   3.710   3.650   3.700   3.766   4.064    3.332   3.698   NaN  1.0  NaN       3.660   1.0    30000.0     0      0.000    30000.0  30000.0
1041  2018-12-05   3.610   3.660   3.600   3.630   3.757   4.043    3.314   3.678   NaN  NaN  NaN       3.660   1.0    30000.0     0      0.000    30000.0  30000.0
1042  2018-12-06   3.620   3.660   3.590   3.590   3.749   4.015    3.291   3.653   NaN  NaN  NaN       3.660   1.0    30000.0     0      0.000    30000.0  30000.0
1043  2018-12-07   3.620   3.680   3.580   3.670   3.740   4.023    3.298   3.660   NaN  1.0  NaN       3.660   1.0    30000.0     0      0.000    30000.0  30000.0
1044  2018-12-10   3.630   3.640   3.510   3.510   3.721   4.022    3.297   3.659   NaN  NaN  1.0       3.630   1.0    30000.0     0      0.000    30000.0  30000.0
1045  2018-12-11   3.510   3.550   3.500   3.520   3.701   4.017    3.293   3.655   NaN  NaN  NaN       3.630   1.0    30000.0     0      0.000    30000.0  30000.0
1046  2018-12-12   3.540   3.580   3.480   3.490   3.680   3.995    3.275   3.635   NaN  NaN  NaN       3.630   1.0    30000.0     0      0.000    30000.0  30000.0
1047  2018-12-13   3.510   3.530   3.440   3.520   3.658   3.987    3.269   3.628   NaN  NaN  NaN       3.630   1.0    30000.0     0      0.000    30000.0  30000.0
1048  2018-12-14   3.520   3.570   3.460   3.500   3.636   3.976    3.260   3.618   NaN  NaN  NaN       3.630   1.0    30000.0     0      0.000    30000.0  30000.0
1049  2018-12-17   3.480   3.480   3.390   3.420   3.614   3.946    3.235   3.591   NaN  NaN  NaN       3.630   1.0    30000.0     0      0.000    30000.0  30000.0
1050  2018-12-18   3.390   3.430   3.310   3.380   3.592   3.911    3.206   3.558   NaN  NaN  NaN       3.630   1.0    30000.0     0      0.000    30000.0  30000.0
1051  2018-12-19   3.370   3.370   3.270   3.270   3.565   3.871    3.173   3.522   NaN  NaN  NaN       3.630   1.0    30000.0     0      0.000    30000.0  30000.0
1052  2018-12-20   3.230   3.320   3.210   3.290   3.537   3.837    3.146   3.492   NaN  NaN  NaN       3.630   1.0    30000.0     0      0.000    30000.0  30000.0
1053  2018-12-21   3.270   3.310   3.230   3.280   3.521   3.794    3.110   3.452   NaN  NaN  NaN       3.630   1.0    30000.0     0      0.000    30000.0  30000.0
1054  2018-12-24   3.270   3.310   3.240   3.290   3.510   3.770    3.090   3.430   NaN  NaN  NaN       3.630   1.0    30000.0     0      0.000    30000.0  30000.0
1055  2018-12-25   3.260   3.270   3.140   3.210   3.492   3.735    3.062   3.399   NaN  NaN  NaN       3.630   1.0    30000.0     0      0.000    30000.0  30000.0
1056  2018-12-26   3.200   3.240   3.190   3.190   3.467   3.702    3.035   3.368   NaN  NaN  NaN       3.630   1.0    30000.0     0      0.000    30000.0  30000.0
1057  2018-12-27   3.240   3.260   3.110   3.120   3.444   3.657    2.998   3.328   NaN  NaN  NaN       3.630   1.0    30000.0     0      0.000    30000.0  30000.0
1058  2018-12-28   3.120   3.220   3.120   3.210   3.424   3.625    2.972   3.299   NaN  NaN  NaN       3.630   1.0    30000.0     0      0.000    30000.0  30000.0
1059  2019-01-02   3.210   3.230   3.170   3.190   3.399   3.600    2.951   3.275   NaN  NaN  NaN       3.630   1.0    30000.0     0      0.000    30000.0  30000.0
1060  2019-01-03   3.200   3.220   3.160   3.180   3.373   3.578    2.933   3.255   NaN  NaN  NaN       3.630   1.0    30000.0     0      0.000    30000.0  30000.0
1061  2019-01-04   3.150   3.270   3.130   3.270   3.355   3.578    2.933   3.255   NaN  1.0  NaN       3.630   1.0    30000.0     0      0.000    30000.0  30000.0
1062  2019-01-07   3.280   3.310   3.250   3.300   3.341   3.579    2.934   3.256   NaN  NaN  1.0       3.280   1.0    30000.0     0      0.000    30000.0  30000.0
1063  2019-01-08   3.290   3.290   3.260   3.270   3.321   3.578    2.933   3.255   NaN  NaN  NaN       3.280   1.0    30000.0     0      0.000    30000.0  30000.0
1064  2019-01-09   3.280   3.390   3.270   3.290   3.310   3.578    2.933   3.255   NaN  NaN  NaN       3.280   1.0    30000.0     0      0.000    30000.0  30000.0
1065  2019-01-10   3.290   3.320   3.260   3.290   3.298   3.586    2.940   3.263   NaN  NaN  NaN       3.280   1.0    30000.0     0      0.000    30000.0  30000.0
1066  2019-01-11   3.270   3.540   3.260   3.440   3.296   3.614    2.963   3.289   NaN  NaN  NaN       3.280   1.0    30000.0     0      0.000    30000.0  30000.0
1067  2019-01-14   3.500   3.780   3.500   3.780   3.309   3.687    3.023   3.355   NaN  NaN  NaN       3.280   1.0    30000.0     0      0.000    30000.0  30000.0
1068  2019-01-15   3.860   3.930   3.670   3.770   3.322   3.750    3.074   3.412   NaN  NaN  NaN       3.280   1.0    30000.0     0      0.000    30000.0  30000.0
1069  2019-01-16   3.680   4.150   3.670   4.150   3.359   3.856    3.161   3.509   NaN  NaN  NaN       3.280   1.0    30000.0     0      0.000    30000.0  30000.0
1070  2019-01-17   4.080   4.570   4.060   4.390   3.409   3.990    3.271   3.631   NaN  NaN  NaN       3.280   1.0    30000.0     0      0.000    30000.0  30000.0
1071  2019-01-18   4.260   4.550   4.060   4.180   3.455   4.091    3.354   3.723   NaN  NaN  NaN       3.280   1.0    30000.0     0      0.000    30000.0  30000.0
1072  2019-01-21   4.150   4.260   4.010   4.170   3.499   4.188    3.433   3.811   0.0  NaN  NaN       3.280   1.0    30000.0     0      0.000    30000.0  30000.0
1073  2019-01-22   4.150   4.310   4.030   4.300   3.550   4.302    3.527   3.915   NaN  NaN  NaN       3.280   1.0    30000.0     0      0.000    30000.0  30000.0
1074  2019-01-23   4.200   4.730   4.180   4.650   3.618   4.453    3.651   4.052   NaN  NaN  NaN       3.280   1.0    30000.0     0      0.000    30000.0  30000.0
1075  2019-01-24   4.600   4.700   4.390   4.610   3.688   4.600    3.771   4.185   NaN  NaN  NaN       3.280   1.0    30000.0     0      0.000    30000.0  30000.0
1076  2019-01-25   4.560   4.860   4.470   4.580   3.757   4.726    3.875   4.301   0.0  NaN  NaN       3.280   1.0    30000.0     0      0.000    30000.0  30000.0
1077  2019-01-28   4.580   4.590   4.270   4.310   3.817   4.785    3.923   4.354   NaN  NaN  NaN       3.280   1.0    30000.0     0      0.000    30000.0  30000.0
1078  2019-01-29   4.350   4.540   4.280   4.390   3.876   4.854    3.979   4.417   NaN  NaN  NaN       3.280   1.0    30000.0     0      0.000    30000.0  30000.0
1079  2019-01-30   4.300   4.330   4.100   4.160   3.924   4.855    3.980   4.418   NaN  NaN  NaN       3.280   1.0    30000.0     0      0.000    30000.0  30000.0
1080  2019-01-31   4.190   4.270   4.120   4.160   3.973   4.830    3.959   4.395   NaN  NaN  NaN       3.280   1.0    30000.0     0      0.000    30000.0  30000.0
1081  2019-02-01   4.210   4.370   4.160   4.270   4.023   4.840    3.968   4.404   NaN  NaN  NaN       3.280   1.0    30000.0     0      0.000    30000.0  30000.0
1082  2019-02-11   4.280   4.470   4.270   4.420   4.079   4.867    3.990   4.429   NaN  NaN  NaN       3.280   1.0    30000.0     0      0.000    30000.0  30000.0
1083  2019-02-12   4.380   4.450   4.330   4.440   4.138   4.883    4.003   4.443   NaN  NaN  NaN       3.280   1.0    30000.0     0      0.000    30000.0  30000.0
1084  2019-02-13   4.400   4.430   4.320   4.390   4.193   4.854    3.979   4.417   NaN  NaN  NaN       3.280   1.0    30000.0     0      0.000    30000.0  30000.0
1085  2019-02-14   4.370   4.830   4.300   4.770   4.267   4.872    3.994   4.433   NaN  1.0  NaN       3.280   1.0    30000.0     0      0.000    30000.0  30000.0
